ts,vader,sent_s1,sent_s2,sent_s3,sent_s4,sent_s5
2022-01-01,0.2985117441967641,-0.10093120226709795,0.20806824930373033,-0.013330149028324025,-0.2503420116147244,-0.05017580191529204
2022-01-02,0.03684788474432807,-0.3073146315008599,-0.0458841393807938,-0.1616800770768466,-0.414787655780236,-0.17057314833633003
2022-01-03,0.20851823362781918,-0.19729480630317678,0.1495197092446043,0.10206304832658288,-0.20781774360729718,0.002278802786004457
2022-01-04,0.13993898801784116,-0.28625934479498977,0.08994899314030805,-0.15985039460917172,-0.23842472010140547,-0.12491335605268183
2022-01-05,0.16830744556657645,-0.16023898926389038,0.29716435750341225,0.1340182336538258,-0.14802712437561244,0.029642059518429978
2022-01-06,0.23037013302244874,-0.10864186116239027,0.19855231117609487,0.09695246661268467,-0.1873951997151463,-0.023773513263267446
2022-01-07,0.13697627119413217,-0.29859026856209514,0.02797632640335864,0.009401562101888822,-0.33088586865845987,-0.15805539726364418
2022-01-08,0.16728784281719833,-0.3192271635112701,-0.039791927707467825,-0.013228983206220896,-0.263439953424805,-0.14602761638585815
2022-01-09,0.1891182923087362,-0.27143189219509617,0.010003968962314017,-0.06849562211036744,-0.2967440387857929,-0.15866802629707627
2022-01-10,0.1488949700479577,-0.30714025184321575,-0.0457596994280058,-0.07522087694772948,-0.2745458015702802,-0.13888661985471845
2022-01-11,0.10755754736232312,-0.07008923164818286,0.23387826267507342,0.08944558307572131,-0.17518393602279667,-0.08008907100062868
2022-01-12,0.1929835985942497,-0.2347697821870154,0.19400535028292365,0.12133460534985907,-0.3096007283068935,-0.09782903363251569
2022-01-13,0.23422148567700188,-0.221363952653103,0.17129570120792245,-0.006088839114426523,-0.2515647877356941,-0.12341073107863408
2022-01-14,0.15090361257642176,-0.30261738668352656,0.032654101360686735,-0.14765166022274814,-0.3279369050256589,-0.15630236777414588
2022-01-15,0.2259219952572022,-0.18066036289948192,0.20353586738627197,0.1769361185070574,-0.20256276689244415,-0.015155395558315831
2022-01-16,0.2904376936164396,-0.2187186436194079,0.32913165706387504,0.05342728336179052,-0.17680618245036417,-0.0584246202534124
2022-01-17,0.11430139710201713,-0.18904437121460524,0.12902553031214764,-0.0500797597724627,-0.28185336728833527,-0.22034183069755806
2022-01-18,0.08513058074024449,-0.23429594415161428,0.1956389554323231,-0.04203383743450731,-0.20819705162882002,-0.06310008984996451
2022-01-19,0.14801149698689797,-0.2233753634042598,0.32223700945684874,0.07628816046695748,-0.20540748024614702,-0.0342045180521021
2022-01-20,0.1526694826395832,-0.2613731064536675,0.0474460529576708,-0.03187787292287973,-0.23840164243880652,-0.1080791652890736
2022-01-21,0.09085088526234246,-0.33277434875812917,-0.11914358147826658,-0.20447032649081678,-0.40548160309460973,-0.23427553974451526
2022-01-22,0.16571497953058204,-0.21396538455116124,0.019951253949422196,-0.00703358895077057,-0.25206607458012603,-0.17043811312729001
2022-01-23,0.06164354460924574,-0.4374709689062766,-0.11797031581593889,-0.13569588385033526,-0.33599709358511565,-0.1533477268692374
2022-01-24,0.0722114639362045,-0.431727965974908,-0.13275488930804463,-0.17580750317096527,-0.3439617166354738,-0.21509461784080652
2022-01-25,0.08247816019619493,-0.25033959549284257,0.06624358820951692,-0.05200020211249966,-0.24906143374269418,-0.09735347938710182
2022-01-26,0.1732082838720808,-0.08551605199653085,0.21532459092755624,0.06606001539530112,-0.12189479227751486,-0.02593782250828403
2022-01-27,0.2030521595798084,-0.2539151854806789,0.23518790203645734,-0.019742073020331003,-0.1644068992598808,-0.08489399147342563
2022-01-28,0.07597340710146297,-0.2466776414412544,0.09960199556187724,-0.010597098110437414,-0.2592234054994268,-0.14381548378477452
2022-01-29,0.1501511103635644,-0.19160594531193115,0.327271387601985,0.1897704645553466,-0.3038881489628692,-0.10351457957979657
2022-01-30,0.24445019854754763,-0.2479507634824244,0.12537863693349902,0.061523859926041244,-0.37671601732978993,-0.23269786161368705
2022-01-31,0.06744530194592292,-0.21147616489835863,0.14747125400604785,-0.03788451829420774,-0.22611400950910035,-0.09654811018289673
2022-02-01,0.21889789983414776,-0.13324968574476173,0.3714004364707057,0.18055411494281248,-0.12210007079050585,-0.036197066991911546
2022-02-02,0.15973896426162765,-0.18316934932306772,0.23838190195288153,0.052111175071980605,-0.24760866725358097,-0.12583766496972348
2022-02-03,0.11099059425783361,-0.3580479755583972,0.04253083034388945,-0.12783371058014173,-0.31367255123440063,-0.14807018522449986
2022-02-04,0.21121387380297835,-0.227013848717516,0.34190932855385103,0.1154241788162329,-0.17559350407278768,-0.040996871228381936
2022-02-05,0.16298943124938023,-0.19119331165446132,0.3489416898947086,0.10966206855072384,-0.1707478582438375,-0.01925364708220794
2022-02-06,0.07860907530828899,-0.24301607161256011,0.33558010208094896,0.041252536030060176,-0.2615796467721953,-0.05315201305297876
2022-02-07,0.1652821996199732,-0.22588802861890786,0.1613137946481005,0.02701789539902063,-0.18642317826805133,-0.08709541069179265
2022-02-08,0.20118752646150864,-0.22057427335634652,0.2075480880057754,-0.05356282856245777,-0.20988077409669317,-0.059207168138298114
2022-02-09,0.22265573025991434,-0.07830979486165814,0.2622244026880428,0.0186312156859082,-0.11073865394235159,-0.045480555133936985
2022-02-10,0.20616026287353761,-0.1613884286383539,0.23515194482165044,-0.03346295560671645,-0.23460600827691105,-0.11743526988798364
2022-02-11,0.11419381726101965,-0.25370830175813375,0.04272237188987801,-0.022950873357123487,-0.23004728787131784,-0.11805792963836154
2022-02-12,0.13410505957072458,-0.24017169906496585,0.23625974417047418,-0.01894818476439866,-0.17671300792092168,-0.06109755937941253
